CODIGO_REGIONAL;REGIONAL;CODIGO_SEDE;SEDE;FICHA;FECHA_INICIO;FECHA_FIN;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA;NIVEL_FORMACION;MATRICULADOS;CERTIFICADOS;TOTAL_APRENDICES;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965211;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934051;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;18;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965204;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965203;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906833;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810741;2;USO DE EXCEL Y ACCESS PARA EL DESARROLLO DE APLICACIONES ADMINISTRATIVAS EMPRESARIALES;CURSO ESPECIAL;80;6;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2935195;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720168;2;APRENDIZ DIGITAL;CURSO ESPECIAL;80;12;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965202;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2977034;2024-04-26 00:00:00.0;2024-05-29 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;0;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965201;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934049;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;21;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965212;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965172;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730030;1;DISEÑO WEB CON ADOBE DREAMWEAVER;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906583;2024-02-06 00:00:00.0;2024-03-08 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;15;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2977016;2024-04-26 00:00:00.0;2024-05-29 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;0;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2977030;2024-04-26 00:00:00.0;2024-05-29 00:00:00.0;51240088;1;ENGLISH DOES WORK - LEVEL 2;CURSO ESPECIAL;80;0;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965210;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965199;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
