CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;MODALIDAD_FORMACION;NIVEL_FORMACION;NUMERO_CURSOS;JOVENES_VULNERABLES___Aprendices_Masc_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Fem_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_NoBin_de_17_años_y_menores;JOVENES_VULNERABLES___Total_Aprendices_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Masc_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_Fem_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_NoBin_de_18_años_y_mayores;JOVENES_VULNERABLES___Total_Aprendices_de_18_años_y_mayores;GRAN_TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2617695;12617695;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;4;4;0;8;8;252:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2618202;12618202;522211;1;ELABORACION DE AUDIOVISUALES.;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;397;LA VEGA;0;;;2135;ATENCION A INSTITUCIONES;2665567;12665567;233101;1;SISTEMAS.;PRESENCIAL;TÉCNICO;1;0;1;0;1;0;0;0;0;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2669739;12669739;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;0;1;0;1;1;222:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2669742;12669742;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;213:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2669757;12669757;836114;1;CONSTRUCCIÓN DE EDIFICACIONES;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;1;0;2;2;265:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2669760;12669760;223107;1;CONSTRUCCION DE INFRAESTRUCTURA VIAL;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;384:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2669911;12669911;832202;2;INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES;PRESENCIAL;TÉCNICO;1;0;0;0;0;3;0;0;3;3;143:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2669971;12669971;838100;1;MANTENIMIENTO DE LOS MOTORES DIESEL;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;34:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2669990;12669990;838200;1;MANTENIMIENTO ELECTRICO Y CONTROL ELECTRONICO DE AUTOMOTORES;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;0;0;1;1;18:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2670006;12670006;524500;3;PATRONAJE INDUSTRIAL DE PRENDAS DE VESTIR;PRESENCIAL;TÉCNICO;1;0;1;0;1;0;0;0;0;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2670056;12670056;522211;1;ELABORACION DE AUDIOVISUALES.;PRESENCIAL;TÉCNICO;1;0;0;0;0;1;1;0;2;2;8:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2675798;12675798;228118;1;ANALISIS Y DESARROLLO DE SOFTWARE.;VIRTUAL;TECNÓLOGO;1;0;0;0;0;1;1;0;2;2;227:05:00
